City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,kertih,4.5141,103.4483,29.3,73,100,0.72,MY,1682994030
156,saint-felicien,48.6501,-72.4491,6.28,93,20,2.06,CA,1682994033
157,sinop,41.7711,34.8709,4.79,76,25,2.49,TR,1682994034
158,saipan,15.1355,145.701,31.39,100,100,9.77,MP,1682994036
159,siwa oasis,29.2041,25.5195,21.12,35,3,5.16,EG,1682994037
160,bikenibeu village,1.3673,173.1241,30.98,70,40,6.17,KI,1682994038
161,susuman,62.7833,148.1667,-2.3,70,100,1.87,RU,1682994039
162,young,-32.6833,-57.6333,13.77,42,94,3.72,UY,1682994040
163,taro,-8.3862,115.28,26.03,64,74,0.65,ID,1682994041
164,sebastopol,44.6,33.5333,9.6,79,4,2.5,UA,1682993743
165,dompu,-8.5356,118.4622,29.83,67,56,1.75,ID,1682993835
166,irymple,-34.25,142.1667,20.61,59,7,1.34,AU,1682994045
167,rio de janeiro,-22.9028,-43.2075,23.98,83,0,3.09,BR,1682994000
168,saint-andre-les-vergers,48.2853,4.0521,7.02,93,0,2.57,FR,1682994047
169,kobryn,52.2138,24.3564,4.68,70,98,4.06,BY,1682994048
170,wailua homesteads,22.0669,-159.378,25.44,79,100,0.89,US,1682994049
171,chernyshevskiy,63.0128,112.4714,-0.47,86,12,2.64,RU,1682994052
172,georgetown,5.4112,100.3354,30.96,74,20,0.0,MY,1682994053
173,crane,31.3974,-102.3501,24.49,25,100,4.56,US,1682994054
174,leava,-14.3,-178.1667,28.23,76,24,10.45,WF,1682994055
175,pandhana,21.7,76.2167,26.22,50,15,3.35,IN,1682994056
176,nikol'sk,53.7189,46.0712,7.73,94,100,1.17,RU,1682994057
177,kannur,11.8675,75.3576,26.68,78,100,1.77,IN,1682994058
178,langepas,61.2544,75.2124,-4.15,73,5,2.01,RU,1682994060
179,rehoboth,-23.3167,17.0833,20.64,29,89,2.16,NA,1682994061
180,eyl,7.9803,49.8164,28.57,75,62,2.11,SO,1682994062
181,lazaro cardenas,17.9583,-102.2,24.95,66,0,1.9,MX,1682994063
182,odda,60.0691,6.5457,-3.56,97,74,1.42,NO,1682994064
183,jinxiang,27.4327,120.6062,17.07,71,100,2.85,CN,1682994065
184,karratha,-20.7377,116.8463,29.1,32,100,8.72,AU,1682994066
185,sandnessjoen,66.0217,12.6316,-2.71,71,12,2.01,NO,1682994068
186,gadzhiyevo,69.2551,33.3362,-0.43,97,99,5.31,RU,1682994069
187,isafjordur,66.0755,-23.124,0.46,77,81,2.37,IS,1682994070
188,kashgar,39.4547,75.9797,19.56,22,0,4.0,CN,1682994072
189,qarqaraly,49.4058,75.4742,0.45,49,42,6.58,KZ,1682994074
190,pucheng,27.9233,118.5333,21.96,39,13,2.18,CN,1682994075
191,isla mujeres,21.2311,-86.731,25.09,65,100,4.65,MX,1682994077
192,miranda do corvo,40.0932,-8.3326,14.25,74,100,1.3,PT,1682994078
193,khadyzhensk,44.4256,39.5319,9.32,88,99,0.76,RU,1682994079
194,serdar,38.9764,56.2757,19.88,66,100,6.69,TM,1682994080
195,st. john's,47.5649,-52.7093,2.21,92,100,5.66,CA,1682994036
196,chibougamau,49.9168,-74.3659,4.79,87,100,7.2,CA,1682993841
197,tura,25.5198,90.2201,23.74,77,23,1.0,IN,1682994084
198,enoch,37.7733,-113.0244,21.14,22,0,8.75,US,1682994014
199,kimbe,-5.5502,150.1429,32.54,62,44,1.92,PG,1682994088
200,khamis mushait,18.3064,42.7292,15.34,72,0,0.0,SA,1682994089
201,barah,13.7,30.3667,25.02,13,55,5.33,SD,1682994090
202,fale old settlement,-9.3852,-171.2468,28.86,73,4,6.0,TK,1682994091
203,porto velho,-8.7619,-63.9039,27.03,89,0,1.54,BR,1682994093
204,bayanhongor,46.7167,100.1167,3.32,27,100,3.75,MN,1682994094
205,ziro,27.6333,93.8333,11.41,100,100,0.5,IN,1682994096
206,kingston,17.997,-76.7936,25.69,93,86,0.89,JM,1682994001
207,kargasok,59.0556,80.8572,0.13,84,100,4.79,RU,1682994098
208,naze,28.3667,129.4833,22.51,56,0,6.27,JP,1682994099
209,motygino,58.1831,94.7592,3.06,74,17,2.1,RU,1682994075
210,ungsang-nodongjagu,42.3578,130.4622,13.93,50,48,4.38,KP,1682994101
211,kushiro,42.975,144.3747,11.53,50,20,6.17,JP,1682994102
212,lerwick,60.1545,-1.1494,4.0,72,96,7.29,GB,1682994103
213,alaghsas,17.0187,8.0168,28.42,11,7,3.52,NE,1682994105
214,afaahiti,-17.75,-149.2833,27.93,84,100,9.73,PF,1682994106
215,ironwood,46.4547,-90.171,3.79,80,100,5.66,US,1682994107
216,fortuna,40.5982,-124.1573,11.48,82,100,2.24,US,1682994108
217,kapa'a,22.0752,-159.319,26.18,78,100,0.89,US,1682994109
218,antibes,43.5624,7.1278,14.52,87,75,4.12,FR,1682994110
219,foz,43.5692,-7.2544,12.14,94,98,2.38,ES,1682994111
220,andovoranto,-18.95,49.1,21.65,88,38,1.67,MG,1682994112
221,riverton,40.5219,-111.9391,27.58,18,0,4.12,US,1682993934
222,saudarkrokur,65.7461,-19.6394,0.49,83,25,0.29,IS,1682994115
223,shakawe,-18.3667,21.85,15.76,48,0,1.48,BW,1682994116
